date;covid_deaths
202001;0
202002;0
202003;108
202004;2598
202005;1809
202006;567
202007;514
202008;688
202009;1615
202010;1798
202011;3646
202012;6251
202101;6241
202102;3570
202103;2420
202104;7088
202105;9260
202106;2253
202107;3342
202108;4892
202109;7032
202110;7462
202111;5834
202112;5217
202201;5613
202202;6934
202203;3861
202204;994
202205;281
202206;69
202207;648
202208;1156
202209;341
202210;154
202211;65
202212;0
202301;0
202302;0
202303;0
202304;0
202305;0
202306;0
202307;0
202308;0
202309;0
202310;0
202311;0
202312;0
