date;KA50
2020-01;66.509.536
2020-02;56.133.997
2020-03;55.179.161
2020-04;55.518.872
2020-05;84.253.345
2020-06;66.470.264
2020-07;81.786.616
2020-08;66.221.719
2020-09;74.997.386
2020-10;94.432.964
2020-11;89.708.924
2020-12;83.830.052
2021-01;105.012.307
2021-02;89.705.716
2021-03;96.857.492
2021-04;122.362.481
2021-05;109.395.324
2021-06;106.287.098
2021-07;126.985.519
2021-08;104.518.219
2021-09;134.107.619
2021-10;144.948.451
2021-11;136.777.872
2021-12;159.606.588
2022-01;121.869.613
2022-02;129.322.362
2022-03;132.106.441
2022-04;171.016.089
2022-05;139.366.192
2022-06;147.222.056
2022-07;167.168.784
2022-08;143.869.552
2022-09;185.377.794
2022-10;157.641.015
2022-11;176.998.834
2022-12;208.998.451
2023-01;157.966.646
2023-02;142.628.281
2023-03;199.577.806
2023-04;165.335.076
2023-05;166.619.913
2023-06;207.921.707
2023-07;172.416.493
2023-08;173.944.187
2023-09;222.879.893
2023-10;180.482.078
2023-11;193.739.321
2023-12;229.458.632
