date;tge
2020-01;81,12
2020-02;79,29
2020-03;80,98
2020-04;78,18
2020-05;82,85
2020-06;82,98
2020-07;82,82
2020-08;79,77
2020-09;81,91
2020-10;81,54
2020-11;79,98
2020-12;79,8
2021-01;82,87
2021-02;84,11
2021-03;86,63
2021-04;80,25
2021-05;77,53
2021-06;81,97
2021-07;80,09
2021-08;78,49
2021-09;79,6
2021-10;76,46
2021-11;70,85
2021-12;68,51
2022-01;72,74
2022-02;70,77
2022-03;72,57
2022-04;67,28
2022-05;67,76
2022-06;63,41
2022-07;68,51
2022-08;72,73
2022-09;72,87
2022-10;76,25
2022-11;76,58
2022-12;75,38
2023-01;79,1
2023-02;82,5
2023-03;80,13
2023-04;87,52
2023-05;91,06
2023-06;85,13
2023-07;80,07
2023-08;68,01
2023-09;71,47
2023-10;74,62
2023-11;75,47
2023-12;77,42
